DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230328,a_15146_61,Pernottante,13744
20230328,a_15146_61,Abitante abituale,21992
20230328,a_15146_61,Visitatore,41552
20230328,m_15010,Pernottante,1665
20230328,m_15010,Visitatore,7513
20230328,m_15010,Abitante abituale,9056
20230328,m_15076,Pernottante,872
20230328,m_15076,Visitatore,4843
20230328,m_15076,Abitante abituale,11506
20230328,m_15082,Pernottante,476
20230328,m_15082,Visitatore,2148
20230328,m_15082,Abitante abituale,2535
20230328,m_15087,Pernottante,2374
20230328,m_15087,Visitatore,9613
20230328,m_15087,Abitante abituale,11296
20230328,m_15114,Pernottante,1371
20230328,m_15114,Visitatore,6649
20230328,m_15114,Abitante abituale,7844
20230331,m_15210,Pernottante,1762
20230331,m_15210,Abitante abituale,4930
20230331,m_15210,Visitatore,7265
20230401,m_15012,Pernottante,2714
20230401,m_15012,Visitatore,7621
20230401,m_15012,Abitante abituale,13206
20230401,m_15024,Pernottante,1082
20230401,m_15024,Visitatore,3767
20230401,m_15024,Abitante abituale,5383
20230401,m_15229,Pernottante,1251
20230401,m_15229,Visitatore,3702
20230401,m_15229,Abitante abituale,4866
20230402,a_15146_77,Pernottante,2204
20230402,a_15146_77,Visitatore,9551
20230402,a_15146_77,Abitante abituale,10182
20230404,a_15146_1,Abitante abituale,30934
20230404,a_15146_1,Pernottante,52778
20230404,a_15146_1,Visitatore,214696
20230404,a_15146_32,Pernottante,3086
20230404,a_15146_32,Visitatore,12043
20230404,a_15146_32,Abitante abituale,14639
20230404,m_15154,Pernottante,1442
20230404,m_15154,Visitatore,7839
20230404,m_15154,Abitante abituale,11465
20230404,m_15172,Pernottante,1066
20230404,m_15172,Abitante abituale,7306
20230404,m_15172,Visitatore,9442
20230405,m_15050,Pernottante,1119
20230405,m_15050,Visitatore,2810
20230405,m_15050,Abitante abituale,3125
20230407,a_15146_70,Pernottante,3002
20230407,a_15146_70,Abitante abituale,12205
20230407,a_15146_70,Visitatore,12370
20230407,a_15146_82,Pernottante,2107
20230407,a_15146_82,Abitante abituale,10465
20230407,a_15146_82,Visitatore,10754
20230408,a_15146_55,Pernottante,4624
20230408,a_15146_55,Abitante abituale,10882
20230408,a_15146_55,Visitatore,11091
20230408,m_15237,Pernottante,1560
20230408,m_15237,Visitatore,4595
20230408,m_15237,Abitante abituale,5663
20230410,m_15007,Pernottante,747
20230410,m_15007,Visitatore,1891
20230410,m_15007,Abitante abituale,3299
20230410,m_15096,Pernottante,872
20230410,m_15096,Visitatore,4616
20230410,m_15096,Abitante abituale,4932
20230411,m_15050,Pernottante,1255
20230411,m_15050,Visitatore,2475
20230411,m_15050,Abitante abituale,3055
20230411,m_15165,Pernottante,280
20230411,m_15165,Visitatore,932
20230411,m_15165,Abitante abituale,974
20230411,m_15200,Pernottante,390
20230411,m_15200,Visitatore,1608
20230411,m_15200,Abitante abituale,2394
20230412,a_15146_05,Abitante abituale,1023
20230412,a_15146_05,Pernottante,1401
20230412,a_15146_05,Visitatore,6147
20230412,a_15146_30,Pernottante,4592
20230412,a_15146_30,Abitante abituale,15516
20230412,a_15146_30,Visitatore,20126
20230412,a_15146_69,Pernottante,5063
20230412,a_15146_69,Abitante abituale,16997
20230412,a_15146_69,Visitatore,27392
20230412,m_15159,Pernottante,2137
20230412,m_15159,Visitatore,7902
20230412,m_15159,Abitante abituale,10667
20230413,m_15087,Pernottante,2262
20230413,m_15087,Visitatore,9093
20230413,m_15087,Abitante abituale,11260
20230414,a_15146_78,Pernottante,1590
20230414,a_15146_78,Visitatore,6553
20230414,a_15146_78,Abitante abituale,9860
20230414,m_15173,Pernottante,2295
20230414,m_15173,Visitatore,8980
20230414,m_15173,Abitante abituale,11596
20230414,m_15219,Pernottante,546
20230414,m_15219,Visitatore,2469
20230414,m_15219,Abitante abituale,3671
20230414,m_15237,Pernottante,1825
20230414,m_15237,Abitante abituale,6632
20230414,m_15237,Visitatore,8059
20230416,a_15146_39,Pernottante,6480
20230416,a_15146_39,Abitante abituale,17079
20230416,a_15146_39,Visitatore,19954
20230417,m_15062,Pernottante,993
20230417,m_15062,Visitatore,6430
20230417,m_15062,Abitante abituale,7814
20230418,m_15131,Pernottante,620
