categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Spettacoli,18-01-22,2022-01-18,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Raf Tozzi. Due - La nostra storia,https://www.teatro.it/spettacoli/milano/degli-arcimboldi/2021-2022/raf-tozzi,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Mostre,01-02-22,2022-01-18,"Via Privata Passo Pordoi, 7/3, Milano, MI",Hub Art,Mostra d'arte amars III,https://www.milanotoday.it/eventi/mostra-d-arte-amars-iii.html,Arte e cultura,"Via Passo Pordoi, Scalo Romana, Municipio 5, Milano, Lombardia, 20139, Italia",45.4364043,9.2092881
Teatri,23-01-22,2022-01-18,"Via Giorgio Vasari, 15, Milano, MI",Teatro Franco Parenti,"Annullato. Al Franco Parenti va in scena ""Io Sarah. Io Tosca"" di e con Laura Morante",https://www.milanotoday.it/eventi/spettacolo-io-sarah-io-tosca-franco-parenti-laura-morante.html,Teatro e spettacolo,"Via Giorgio Vasari, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542475,9.2073471
,19-03-22,2022-01-18,"Via Passo Buole, 3, Milano, MI",Galleria AREA/B,Nado Canuti. Il lungo volo,https://www.milanotoday.it/eventi/nado-canuti-il-lungo-volo-2021.html,Non classificato,"3, Via Passo Buole, Porta Romana, Municipio 5, Milano, Lombardia, 20135, Italia",45.4476997,9.2080803
Teatri,30-01-22,2022-01-18,"Via Alessandro Manzoni, 42, Milano, MI",Teatro Manzoni,Alessio Boni è Don Chisciotte al Teatro Manzoni,https://www.milanotoday.it/eventi/spettacolo-don-chisciotte-teatro-manzoni-alessio-boni.html,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Convegno/conferenza,19-01-22,2022-01-19,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,Tra fantasia e industrializzazione,,Formazione e networking,"Pinacoteca di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4722421,9.1884071
Cinema,19-01-22,2022-01-19,"Via Seneca, 6, Milano, MI",Il Cinemino,Al Cinemino una serata speciale sulla moda sostenibile,https://www.milanotoday.it/eventi/film-stracci-cinemino.html,Arte e cultura,"Il Cinemino, 6, Via Seneca, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4541227,9.2083301
Concerti,19-01-22,2022-01-19,"Via Larga, 14, Milano, MI",TEATRO LIRICO GIORGIO GABER,Il concerto della Filarmonica di Milano al Teatro Lirico Gaber,https://www.milanotoday.it/eventi/concerto-filarmonica-milano-teatro-gaber.html,Musica e vita notturna,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
,16-02-22,2022-01-19,"Via Maloia, 1, Milano, MI",spazioSERRA,Mirrored in spectral machines,https://www.milanotoday.it/eventi/mirrored-in-spectral-machines-clarissa-2022.html,Non classificato,"Via Maloia, Farini, Municipio 9, Milano, Lombardia, 20158, Italia",45.4946286,9.1768212
Moda,23-01-22,2022-01-19,"Via Alessandro Volta, 7A, Milano, MI",Moscova District Market,"Luxury Market, l’esclusiva special sale dedicata solo ai top brand del lusso",https://www.milanotoday.it/eventi/special-sale-top-brand-lusso.html,Mercati e shopping,"7a, Via Alessandro Volta, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4794117,9.1836722
