categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id,subsubcluster
Spettacoli,20-05-23,20-05-23,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Sinfonia dei Mille,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2022-2023/sinfonia-dei-mille,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701,0,0,0.1,1
Concerti,20-05-23,20-05-23,"Piazza Venticinque Aprile, Milano, MI",Eataly Milano Smeraldo,Eataly Smeraldo apre le porte a Piano City: i concerti da non perdere,https://www.milanotoday.it/eventi/concerti-piano-city-eataly-smeraldo.html,Musica e vita notturna,"Piazza Venticinque Aprile, Brera, Municipio 9, Milano, Lombardia, 20100, Italia",45.4807992,9.1874526,0,0,0.1,1
Concerti,20-05-23,20-05-23,"Piazza del Duomo, Milano, MI",Piazza Duomo,Chi ci sarà al concerto gratis di Radio Italia in Duomo: tutti i cantanti,https://www.milanotoday.it/eventi/concerto-radio-italia-cantanti-20-maggio.html,Musica e vita notturna,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Concerti,20-05-23,20-05-23,"Piazza del Duomo, Milano, MI",Piazza Duomo,A Milano torna il concertone di Radio Italia gratis: chi ci sarà sul palco,https://www.milanotoday.it/eventi/concerto-radio-italia-20-maggio-2023-cantanti.html,Musica e vita notturna,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Spettacoli,21-05-23,21-05-23,"Largo Antonio Greppi,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Strehler,Uno sguardo dal ponte,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-strehler/2022-2023/uno-sguardo-dal-ponte,Teatro e spettacolo,"Largo Antonio Greppi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.471727,9.1826196,0,0,0.1,1
Spettacoli,21-05-23,21-05-23,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,PINTUS - Bau,https://www.teatro.it/spettacoli/milano/manzoni/2022-2023/angelo-pintus-bau,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.9,9
Spettacoli,21-05-23,21-05-23,"Via Boltraffio 21,20159, Milano, MI,Italia",Fontana,Il bacio della vedova,https://www.teatro.it/spettacoli/milano/fontana/2022-2023/il-bacio-della-vedova,Teatro e spettacolo,"21, Via Gian Antonio Boltraffio, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4921952,9.1878419,0,0,0.23,23
Spettacoli,21-05-23,21-05-23,"via Conservatorio 12,20122, Milano, MI,Italia",Conservatorio Giuseppe Verdi,JAMES SENESE,https://www.teatro.it/spettacoli/milano/conservatorio-giuseppe-verdi/2022-2023/james-senese,Teatro e spettacolo,"Via Conservatorio, Guastalla, Municipio 1, Milano, Lombardia, 20122, Italia",45.4658084,9.2027724,0,0,0.19,19
Spettacoli,21-05-23,21-05-23,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Voce Sorgente,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2022-2023/anna-oxa-voce-sorgente,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702,0,0,0.1,1
Spettacoli,22-05-23,22-05-23,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Daniele Silvestri - Teatri X,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2022-2023/daniele-silvestri-teatri-x,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702,0,0,0.1,1
Spettacoli,23-05-23,23-05-23,"Via Giordano Rota 1,20145, Milano, MI,Italia",Nazionale Italiana Assicurazioni,C'è sempre qualcosa che non va,https://www.teatro.it/spettacoli/milano/nazionale-chebanca/2022-2023/pucci-ce-sempre-qualcosa-che-non-va,Teatro e spettacolo,"20145, Italy",45.4643,9.1895,0,0,0.1,1
Spettacoli,23-05-23,23-05-23,"Via Giordano Rota 1,20145, Milano, MI,Italia",Nazionale Italiana Assicurazioni,C'è sempre qualcosa che non va,https://www.teatro.it/spettacoli/milano/nazionale-chebanca/2022-2023/pucci-ce-sempre-qualcosa-che-non-va,Teatro e spettacolo,"20145, Italy",45.4643,9.1895,0,0,0.1,1
Spettacoli,24-05-23,24-05-23,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Stand up and down comedy,https://www.teatro.it/spettacoli/milano/manzoni/2022-2023/stand-up-and-down-comedy,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.9,9
,18-06-23,24-05-23,"Via Santa Maria Valle, 2, Milano, MI",MA EC Gallery,Somewhere nowhere - Mostra personale di andrea marchesini,https://www.milanotoday.it/eventi/somewhere-nowhere-mostra-personale-di-andrea-marchesini.html,Non classificato,"Fondazione Alessandro Durini, 2, Via Santa Maria Valle, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4600544,9.1838916,0,0,0.1,1
