categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
,20-10-19,2019-09-20,"Via Niccolò Jommelli, 24, Milano, MI",Spazio Tadini,Mostra fotografica di Luciano Bambusi e Margot Minnelli,https://www.milanotoday.it/eventi/mostra-bambusi-minnelli.html,Non classificato,"Milano Arte Expo, 24, Via Niccolò Jommelli, Loreto, Municipio 3, Milano, Lombardia, 20131, Italia",45.4865099,9.2255126,9
Mostre,06-01-20,2019-09-20,"Piazza della Repubblica, 13, Milano, MI",ME Milan Il Duca,Johny dar in mostra a me milan il duca,https://www.milanotoday.it/eventi/johny-dar-in-mostra-a-me.html,Arte e cultura,"Hotel Melià Il Duca, 13, Piazza della Repubblica, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.479418,9.1961835,0
Concerti,20-09-19,2019-09-20,"Via San Cristoforo, 1, Milano, MI",Teatro Alfredo Chiesa,Concerto: “Invito all’opera - la lirica per tutti”,https://www.milanotoday.it/eventi/concerto-invito-all-opera.html,Musica e vita notturna,"Montalcino Caffè, 1, Via San Cristoforo, San Cristoforo, Municipio 6, Milano, Lombardia, 20144, Italia",45.4477537,9.1544595,7
,20-09-19,2019-09-20,"Via Raffaele Lambruschini, 33, Milano, MI",Bovisa Drive-in,Milano Movie Week: Paramount Network Grease Experience e Dj Set @Bovisa Drive-in,https://www.milanotoday.it/eventi/milano-movie-week-paramount-network-grease-experience-e-dj-set-bovisa-drive-in.html,Non classificato,"Via Raffaele Lambruschini, Bovisa, Municipio 9, Milano, Lombardia, 20156, Italia",45.5025126,9.1535005,3
Convegno/conferenza,22-09-19,2019-09-21,"Corso Magenta, Milano, MI",Museo Martinitt e Stelline,"Taglio cucito e stampa: un divertimento oggi, un riscatto sociale ieri",,Formazione e networking,"Corso Magenta, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4657212,9.17112,0
Mostre,30-09-20,2019-09-21,"Viale Gadio, 2, Milano, MI",Acquario Civico di Milano,A Milano una mostra multimediale per bambini sui cetacei,https://www.milanotoday.it/eventi/mostra-balene-bambini-acquario-civico.html,Arte e cultura,"2, Viale Gerolamo Gadio, Brera, Milano, Lombardia, 20121, Italia",45.4737856,9.1809276,0
Incontri,21-09-19,2019-09-21,"Via Olmetto, 10, Milano, MI",Fortura Giocattoli,Le api a Milano: laboratorio didattico per bambini dai 3 anni in su,https://www.milanotoday.it/eventi/laboratorio-didattico-api.html,Formazione e networking,"10, Via Olmetto, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4593741,9.1849876,0
Cibo e Vino,22-09-19,2019-09-21,"Corso Magenta, 61, Milano, MI",palazzo delle stelline,Iginio Massari e altri grandi nomi della pasticceria in arrivo a Sweety of Milano,https://www.milanotoday.it/eventi/fiera-pasticceria-palazzo-stelline.html,Enogastronomia,"61, Corso Magenta, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4656392,9.1722471,0
Mostre,29-09-19,2019-09-21,"Piazza del Duomo, Milano, MI",Piazza Duomo,'Compagni di banco': la mostra fotografica gratuita in piazza Duomo,https://www.milanotoday.it/eventi/mostra-duomo-banco-alimentare.html,Arte e cultura,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0
Disco&Feste,21-09-19,2019-09-21,"Via Corsico, Milano, MI",Ral8022,Sui Navigli si balla con la silent disco,https://www.milanotoday.it/eventi/navigli-discoteca-silenziosa.html,Musica e vita notturna,"Via Corsico, Navigli, Municipio 6, Milano, Lombardia, 20144, Italia",45.4522937,9.1734184,7
