categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id
Incontri,18-04-19,11-04-19,"Via Privata Nino Bonnet, 2, Milano, MI",Fondazione Floriani,Arriva Pasqua... torna Fondaco,https://www.milanotoday.it/eventi/arriva-pasqua-torna-fondaco-2019.html,Formazione e networking,"2, Via privata Nino Bonnet, GARIBALDI REPUBBLICA, Municipio 9, Milano, Lombardia, 20154, Italia",45.4817623,9.1848076,0,0,0.0
Concerti,11-04-19,11-04-19,"Via San Giovanni sul Muro, 2, Milano, MI","Teatro Dal Verme, sala piccola","Breaking music - ""Music tomorrow"", quarto concerto del Syntax ensemble",https://www.milanotoday.it/eventi/breaking-music-music-tomorrow-quarto-concerto-del-syntax-ensemble-syntax-ensemble-6642433.html,Musica e vita notturna,"2, Via San Giovanni sul Muro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4671162,9.1814924,0,0,0.0
Manifestazioni,13-04-19,11-04-19,"Viale Monte Grappa, Milano, MI",Amazon,"Fuorisalone 2019: ""House in a Box"", l'esposizione di Amazon dall'11 al 13 aprile",https://www.milanotoday.it/eventi/fuorisalone-2019-esposizione-amazon.html,Altri eventi,"Viale Monte Grappa, Brera, Municipio 1, Milano, Lombardia, 20100, Italia",45.4806646,9.190302,0,0,0.0
Incontri,13-04-19,11-04-19,"Via Andrea Solari, 11, Milano, MI",Living Suavinex,Baby Design per neo-genitori: dall'11 al 13 aprile incontri e workshop presso Living Suavinex,https://www.milanotoday.it/eventi/baby-design-per-neo-genitori-incontri.html,Formazione e networking,"Spazio GO!, 11, Via Andrea Solari, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4559236,9.166066,0,0,0.0
Mostre,11-04-19,11-04-19,"Viale Monte Nero, 31, Milano, MI",Mimade,"""Oltre"": mostra da Mimade, spazio di interior design & art a milano. Opening  11 aprile 2019.",https://www.milanotoday.it/eventi/oltre-mostra-da-mimade-spazio-di-interior-design-art.html,Arte e cultura,"Gio Hair Lab di Giovanna Luciani, 31, Viale Monte Nero, Porta Romana, Municipio 1, Milano, Lombardia, 20135, Italia",45.4564042,9.2047172,0,3,0.3
Spettacoli,11-04-19,11-04-19,"Via Giordano Rota 1,20145, Milano, MI,Italia",Nazionale Italiana Assicurazioni,RuPaul's Drag Race - Werq the World Tour,https://www.teatro.it/spettacoli/milano/nazionale-chebanca/2018-2019/werq-the-world-tour-rupauls-drag-race,Teatro e spettacolo,"20145, Italy",45.4643,9.1895,0,0,0.0
Mostre,14-04-19,11-04-19,"Via Genova Thaon di Revel, 21, Milano, MI",Fonderia Napoleonica Eugenia,Giardini sospesi in aria e una cerimonia del tè: la Desing Week alla Fonderia Napoleonica,https://www.milanotoday.it/eventi/salone-del-mobile/fuorisalone-fonderia-napoleonica.html,Arte e cultura,"Fonderia Napoleonica Eugenia, 21, Via Genova Thaon Di Revel, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4929581,9.1875413,0,0,0.0
Cibo e Vino,14-04-19,11-04-19,"Piazza Antonio Gramsci, Milano, MI",Piazza Gramsci,'Festa greca': dall'11 al 14 aprile gyros pita e souvlaky a Cinisello,https://www.milanotoday.it/eventi/sagre/festa-greca-cinisello.html,Enogastronomia,"Piazza Antonio Gramsci, Sarpi, Bullona, Municipio 8 di Milano, Milano, Lombardia, Italia",45.4816852,9.1686531,0,-1,0.-1
Disco&Feste,12-04-19,11-04-19,"Piazza Castello, Milano, MI",Piazza Castello,Milan Design Week: due Silent Party giovedì 11 e venerdì 12 aprile in piazza Castello,https://www.milanotoday.it/eventi/design-week-night-party-castello.html,Musica e vita notturna,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.0
Mostre,15-04-19,11-04-19,"Alzaia Naviglio Grande, 4, Milano, MI",Studio Mitti,Il seguito dei due punti,https://www.milanotoday.it/eventi/il-seguito-dei-due-punti-giovanni-femia.html,Arte e cultura,"4, Alzaia Naviglio Grande, Navigli, Municipio 6, Milano, Lombardia, 20144, Italia",45.4521916,9.1761844,0,0,0.0
Cibo e Vino,14-04-19,11-04-19,"Piazza Castello, Milano, MI",Piazza Castello,'Sardegna in piazza': arriva la sagra delle seadas e del mirto,https://www.milanotoday.it/eventi/sardegna-in-piazza-cologno.html,Enogastronomia,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.0
Incontri,02-05-19,12-04-19,"Via Pasquale Sottocorno, 27, Milano, MI",Art Luxury,Astrattismo,https://www.milanotoday.it/eventi/astrattismo-carolina-gambetti-carla-bertoli-2019.html,Formazione e networking,"Ricci Osteria, 27, Via Pasquale Sottocorno, XXII Marzo, Municipio 4, Milano, Lombardia, 20129, Italia",45.4662072,9.2119112,0,9,0.9
